guid,expression,meaning,add reverse?,kana,mnemonic,notes,tags
D%myf5Y9BQ,六月,June,Y,ろくがつ,,,"Genki, Japanese::Counters::月, lesson-4, Months, Useful_Expressions"
b!rxl#6hdH,八月,August,Y,はちがつ,,,"Genki, Japanese::Counters::月, lesson-4, Months, Useful_Expressions"
o+5$T@*jdD,十二月,December,Y,じゅうにがつ,,,"Genki, Japanese::Counters::月, lesson-4, Months, Useful_Expressions"
NjpA?i~01*,おととい,The day before yesterday,Y,,,,"Genki, leech, lesson-4, Time_Words, Useful_Expressions"
"bI=~4NRaj,",日曜日,Sunday,Y,にちようび,,,"_and_下, _上, Days, Genki, Kanji_Practice, lesson-4, 曜"
"CIm1%p,jf_",火曜日,Tuesday,Y,かようび,,,"Days, Genki, leech, lesson-4, Time"
e^zvLNoOH[,水曜日,Wednesday,Y,すいようび,,,"Days, Genki, lesson-4, Time"
tZxsP8zs?m,木曜日,Thursday,Y,もくようび,,,"Days, Genki, leech, lesson-4, Time"
i`X3;3`WpD,金曜日,Friday,Y,きんようび,,,"Days, Genki, leech, lesson-4, Time"
C#{ZdEcqZ@,元日,the first day of the year,Y,がんじつ,,,"_and_元, _川, Genki, Kanji_Practice, leech, lesson-5, 山"
ygpC}.2V14,ついたち,1st (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
"p[$,]bfmv^",ふつか,2nd (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
x<[3G2T7d.,みっか,3rd (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
"u.I&,FWyS`",よっか,4th (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
Ev%J1MBc;K,いつか,5th (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
LtahqENS1b,むいか,6th (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
u$l*Q;8WJE,ようか,8th (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
GA3!PaVK%F,ここのか,9th (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
kX@aor&y`[,とおか,10th (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
AX4lwjWHRH,じゅういちにち,11th (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
p5:(eP`ZLd,じゅうににち,12th (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
y0loH;~jTD,じゅうさんにち,13th (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
MrFwOg1xnY,じゅうよっか,14th (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
Ig!xc3To@/,じゅうごにち,15th (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
G4|ZsbK|Vh,じゅうろくにち,16th (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
"Mx8:i,)!|Y",じゅうしちにち,17th (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
