guid,radical,radical number,numbers of strokes,alternative,meaning,reading,tags
nC~~FJ>$Ul,冂,13,2,(None)<br>Example: 内再,Upside DoWn Box,けいがまえ・まきがまえ・どうがまえ・えんがまえ,Japanese::Kanji::Radicals
"eE:bYKQ%0,",亅,6,1,(None)<br>Example: 了事,Hook,はねぼう,Japanese::Kanji::Radicals
"E+],X2#JEY",匕,21,2,(None)<br>Example: 化北,Spoon,さじ・さじのひ・さじづくり・ひ,Japanese::Kanji::Radicals
p6HXSe$|^|,風,182,9,𠘨<br>Example: 風 颱 飄 颿 颪,Wind,かぜ,Japanese::Kanji::Radicals
nH=T[o!AOm,聿,129,6,⺻<br>Example: 律 書 建,Brush,ふで・ふでづくり,Japanese::Kanji::Radicals
za{NJV*O{y,高,189,10,髙<br>Example: 髚 髛,"Tall, High",たかい,Japanese::Kanji::Radicals
x`Faop%M#F,甘,99,5,(None)<br>Example: 柑 甜 酣,Sweet,あまい・かん,Japanese::Kanji::Radicals
HUR]D]N|xy,舌,135,6,(None)<br>Example: 乱 适 話 舍,Tongue,した・したへん,Japanese::Kanji::Radicals
ghGn}G^Ag9,矛,110,5,(None)<br>Example: 茅 矜,"Spear, Pike",ほこ・ほこへん・むのほこ,"Japanese::Kanji::Radicals, leech"
d^Dd:]_fU[,舟,137,6,(None)<br>Example: 航 船 艦,Boat,ふね・ふねへん,Japanese::Kanji::Radicals
dSy/G(9tr8,鳥,196,11,(None)<br>Example: 鳫 鳮 鳱 鳳 鳴 鳿 雞 鳴 鴻 鴛,Bird,とり・とりへん,Japanese::Kanji::Radicals
uyoP8sJq5r,魚,195,11,(None)<br>Example: 鯉 鮑 魛 魜 魝 魞 魟 魠,Fish,うお・うおへん・さかな,Japanese::Kanji::Radicals
s:u?_}Pz=5,馬,187,10,(None)<br>Example: 馮 馴 馳 駐 驚,Horse,うま・うまへん,Japanese::Kanji::Radicals
v+r~IPzdLC,身,158,7,(None)<br>Example: 躬 躲 軀,Body,み・みへん,Japanese::Kanji::Radicals
Rco!1m5/s`,皮,107,5,(None)<br>Example: 披 彼 波,Skin,かわ・けがわ・ひのかわ,Japanese::Kanji::Radicals
QL-#WS.(0Q,面,176,9,靣<br>Example: 靦 靨,Face,めん,Japanese::Kanji::Radicals
E:flW3Z8(E,黑,203,12,黒<br>Example: 點 黛 黱 黨,Black,くろ・くろへん,Japanese::Kanji::Radicals
bN.;rE=H&.,血,143,6,(None)<br>Example: 洫 衁 衅 衆,Blood,ち・ちへん,Japanese::Kanji::Radicals
rj<;5vm5n[,幺,52,3,(None)<br>Example: 幻幼,Short Thread,いとがしら・よう,Japanese::Kanji::Radicals
